	review_id	word_id	word	lemma	upos	xpos	head	deprel	lemma_index	label
0	0	1	The	the	DET	DT	2	det	the_0	O
1	0	2	bread	bread	NOUN	NN	5	nsubj	bread_1	B
2	0	3	is	be	AUX	VBZ	5	cop	be_2	O
3	0	4	top	top	ADJ	JJ	5	compound	top_3	O
4	0	5	notch	notch	NOUN	NN	0	root	notch_4	O
5	0	6	as	as	ADV	RB	5	advmod	as_5	O
6	0	7	well	well	ADV	RB	6	fixed	well_6	O
7	0	8	.	.	PUNCT	.	5	punct	._7	O
8	1	1	I	I	PRON	PRP	2	nsubj	I_0	O
9	1	2	have	have	VERB	VBP	0	root	have_1	O
10	1	3	to	to	PART	TO	4	mark	to_2	O
11	1	4	say	say	VERB	VB	2	xcomp	say_3	O
12	1	5	they	they	PRON	PRP	6	nsubj	they_4	O
13	1	6	have	have	VERB	VBP	4	ccomp	have_5	O
14	1	7	one	one	NUM	CD	6	obj	one_6	O
15	1	8	of	of	ADP	IN	12	case	of_7	O
16	1	9	the	the	DET	DT	12	det	the_8	O
17	1	10	fastest	fastest	ADJ	JJS	12	amod	fastest_9	O
18	1	11	delivery	delivery	NOUN	NN	12	compound	delivery_10	B
19	1	12	times	time	NOUN	NNS	7	nmod	time_11	I
20	1	13	in	in	ADP	IN	15	case	in_12	O
21	1	14	the	the	DET	DT	15	det	the_13	O
22	1	15	city	city	NOUN	NN	12	nmod	city_14	O
23	1	16	.	.	PUNCT	.	2	punct	._15	O
24	2	1	Food	food	NOUN	NN	4	nsubj	food_0	B
25	2	2	is	be	AUX	VBZ	4	cop	be_1	O
26	2	3	always	always	ADV	RB	4	advmod	always_2	O
27	2	4	fresh	fresh	ADJ	JJ	0	root	fresh_3	O
28	2	5	and	and	CCONJ	CC	8	cc	and_4	O
29	2	6	hot	hot	ADJ	JJ	8	amod	hot_5	O
30	2	7	-	-	PUNCT	HYPH	8	punct	#NAME?	O
31	2	8	ready	ready	ADJ	JJ	4	conj	ready_7	O
32	2	9	to	to	PART	TO	10	mark	to_8	O
33	2	10	eat	eat	VERB	VB	8	xcomp	eat_9	O
34	2	11	!	!	PUNCT	.	4	punct	!_10	O
35	3	1	Did	do	AUX	VBD	3	aux	do_0	O
36	3	2	I	I	PRON	PRP	3	nsubj	I_1	O
37	3	3	mention	mention	VERB	VB	0	root	mention_2	O
38	3	4	that	that	SCONJ	IN	8	mark	that_3	O
39	3	5	the	the	DET	DT	6	det	the_4	O
40	3	6	coffee	coffee	NOUN	NN	8	nsubj	coffee_5	B
41	3	7	is	be	AUX	VBZ	8	cop	be_6	O
42	3	8	OUTSTANDING	outstanding	ADJ	JJ	3	ccomp	outstanding_7	O
43	3	9	?	?	PUNCT	.	3	punct	?_8	O
44	4	1	Certainly	certainly	ADV	RB	5	advmod	certainly_0	O
45	4	2	not	not	PART	RB	5	advmod	not_1	O
46	4	3	the	the	DET	DT	5	det	the_2	O
47	4	4	best	best	ADJ	JJS	5	amod	best_3	O
48	4	5	sushi	sushi	NOUN	NN	0	root	sushi_4	B
49	4	6	in	in	ADP	IN	8	case	in_5	O
50	4	7	New	New	PROPN	NNP	8	compound	New_6	O
51	4	8	York	York	PROPN	NNP	5	nmod	York_7	O
52	4	9	,	,	PUNCT	,	5	punct	,_8	O
53	4	10	however	however	ADV	RB	15	advmod	however_9	O
54	4	11	,	,	PUNCT	,	15	punct	,_10	O
55	4	12	it	it	PRON	PRP	15	nsubj	it_11	O
56	4	13	is	be	AUX	VBZ	15	cop	be_12	O
57	4	14	always	always	ADV	RB	15	advmod	always_13	O
58	4	15	fresh	fresh	ADJ	JJ	5	parataxis	fresh_14	O
59	4	16	,	,	PUNCT	,	22	punct	,_15	O
60	4	17	and	and	CCONJ	CC	22	cc	and_16	O
61	4	18	the	the	DET	DT	19	det	the_17	O
62	4	19	place	place	NOUN	NN	22	nsubj	place_18	B
63	4	20	is	be	AUX	VBZ	22	cop	be_19	O
64	4	21	very	very	ADV	RB	22	advmod	very_20	O
65	4	22	clean	clean	ADJ	JJ	15	conj	clean_21	O
66	4	23	,	,	PUNCT	,	24	punct	,_22	O
67	4	24	sterile	sterile	ADJ	JJ	22	conj	sterile_23	O
68	4	25	.	.	PUNCT	.	5	punct	._24	O
69	5	1	I	I	PRON	PRP	2	nsubj	I_0	O
70	5	2	trust	trust	VERB	VBP	0	root	trust_1	O
71	5	3	the	the	DET	DT	4	det	the_2	O
72	5	4	people	people	NOUN	NNS	2	obj	people_3	B
73	5	5	at	at	ADP	IN	7	case	at_4	O
74	5	6	Go	go	PROPN	NNP	7	compound	go_5	O
75	5	7	Sushi	Sushi	PROPN	NNP	2	obl	Sushi_6	O
76	5	8	,	,	PUNCT	,	2	punct	,_7	O
77	5	9	it	it	PRON	PRP	11	nsubj	it_8	O
78	5	10	never	never	ADV	RB	11	advmod	never_9	O
79	5	11	disappoints	disappoint	VERB	VBZ	2	parataxis	disappoint_10	O
80	5	12	.	.	PUNCT	.	2	punct	._11	O
81	6	1	Straight	straight	ADJ	JJ	0	root	straight_0	O
82	6	2	-	-	PUNCT	,	1	punct	#NAME?	O
83	6	3	forward	forward	ADJ	JJ	1	list	forward_2	O
84	6	4	,	,	PUNCT	,	6	punct	,_3	O
85	6	5	no	no	DET	DT	6	det	no_4	O
86	6	6	surprises	surprise	NOUN	NNS	1	list	surprise_5	O
87	6	7	,	,	PUNCT	,	11	punct	,_6	O
88	6	8	very	very	ADV	RB	9	advmod	very_7	O
89	6	9	decent	decent	ADJ	JJ	11	amod	decent_8	O
90	6	10	Japanese	japanese	ADJ	JJ	11	amod	japanese_9	B
91	6	11	food	food	NOUN	NN	1	list	food_10	I
92	6	12	.	.	PUNCT	.	1	punct	._11	O
93	7	1	BEST	best	ADJ	JJS	4	amod	best_0	O
94	7	2	spicy	spicy	ADJ	JJ	4	amod	spicy_1	B
95	7	3	tuna	tuna	NOUN	NN	4	compound	tuna_2	I
96	7	4	roll	roll	NOUN	NN	0	root	roll_3	I
97	7	5	,	,	PUNCT	,	4	punct	,_4	O
98	7	6	great	great	ADJ	JJ	8	amod	great_5	O
99	7	7	asian	asian	ADJ	JJ	8	amod	asian_6	B
100	7	8	salad	salad	NOUN	NN	4	conj	salad_7	I
101	7	9	.	.	PUNCT	.	4	punct	._8	O
102	8	1	Try	try	VERB	VB	0	root	try_0	O
103	8	2	the	the	DET	DT	4	det	the_1	O
104	8	3	rose	rose	NOUN	NN	4	compound	rose_2	B
105	8	4	roll	roll	NOUN	NN	1	obj	roll_3	I
106	8	5	(	(	PUNCT	-LRB-	8	punct	(_4	O
107	8	6	not	not	ADV	RB	8	advmod	not_5	O
108	8	7	on	on	ADP	IN	8	case	on_6	O
109	8	8	menu	menu	NOUN	NN	1	obl	menu_7	B
110	8	9	)	)	PUNCT	-RRB-	8	punct	)_8	O
111	8	10	.	.	PUNCT	.	1	punct	._9	O
112	9	1	I	I	PRON	PRP	2	nsubj	I_0	O
113	9	2	love	love	VERB	VBP	0	root	love_1	O
114	9	3	the	the	DET	DT	4	det	the_2	O
115	9	4	drinks	drink	NOUN	NNS	2	obj	drink_3	B
116	9	5	,	,	PUNCT	,	8	punct	,_4	O
117	9	6	esp	esp	NOUN	NN	8	compound	esp_5	O
118	9	7	lychee	lychee	NOUN	NN	8	compound	lychee_6	B
119	9	8	martini	martini	NOUN	NN	4	conj	martini_7	I
120	9	9	,	,	PUNCT	,	16	punct	,_8	O
121	9	10	and	and	CCONJ	CC	16	cc	and_9	O
122	9	11	the	the	DET	DT	12	det	the_10	O
123	9	12	food	food	NOUN	NN	16	nsubj	food_11	B
124	9	13	is	be	AUX	VBZ	16	cop	be_12	O
125	9	14	also	also	ADV	RB	16	advmod	also_13	O
126	9	15	VERY	very	ADV	RB	16	advmod	very_14	O
127	9	16	good	good	ADJ	JJ	2	conj	good_15	O
128	9	17	.	.	PUNCT	.	2	punct	._16	O
129	10	1	In	in	ADP	IN	2	case	in_0	O
130	10	2	fact	fact	NOUN	NN	9	obl	fact_1	O
131	10	3	,	,	PUNCT	,	9	punct	,_2	O
132	10	4	this	this	PRON	DT	9	nsubj	this_3	O
133	10	5	was	be	AUX	VBD	9	cop	be_4	O
134	10	6	not	not	PART	RB	9	advmod	not_5	O
135	10	7	a	a	DET	DT	9	det	a_6	O
136	10	8	Nicoise	nicoise	NOUN	NN	9	compound	nicoise_7	B
137	10	9	salad	salad	NOUN	NN	0	root	salad_8	I
138	10	10	and	and	CCONJ	CC	13	cc	and_9	O
139	10	11	was	be	AUX	VBD	13	cop	be_10	O
140	10	12	barely	barely	ADV	RB	13	advmod	barely_11	O
141	10	13	eatable	eatable	ADJ	JJ	9	conj	eatable_12	O
142	10	14	.	.	PUNCT	.	9	punct	._13	O
143	11	1	While	while	SCONJ	IN	3	mark	while_0	O
144	11	2	there	there	PRON	EX	3	expl	there_1	O
145	11	3	's	be	VERB	VBZ	11	advcl	be_2	O
146	11	4	a	a	DET	DT	6	det	a_3	O
147	11	5	decent	decent	ADJ	JJ	6	amod	decent_4	O
148	11	6	menu	menu	NOUN	NN	3	nsubj	menu_5	B
149	11	7	,	,	PUNCT	,	11	punct	,_6	O
150	11	8	it	it	PRON	PRP	11	nsubj	it_7	O
151	11	9	should	should	AUX	MD	11	aux	should_8	O
152	11	10	n't	not	PART	RB	11	advmod	not_9	O
153	11	11	take	take	VERB	VB	0	root	take_10	O
154	11	12	ten	ten	NUM	CD	13	nummod	ten_11	O
155	11	13	minutes	minute	NOUN	NNS	11	obj	minute_12	O
156	11	14	to	to	PART	TO	15	mark	to_13	O
157	11	15	get	get	VERB	VB	11	csubj	get_14	O
158	11	16	your	you	PRON	PRP$	17	nmod:poss	you_15	O
159	11	17	drinks	drink	NOUN	NNS	15	obj	drink_16	B
160	11	18	and	and	CCONJ	CC	19	cc	and_17	O
161	11	19	45	45	NUM	CD	17	conj	45_18	O
162	11	20	for	for	ADP	IN	23	case	for_19	O
163	11	21	a	a	DET	DT	23	det	a_20	O
164	11	22	dessert	dessert	NOUN	NN	23	compound	dessert_21	B
165	11	23	pizza	pizza	NOUN	NN	15	obl	pizza_22	I
166	11	24	.	.	PUNCT	.	11	punct	._23	O
167	12	1	Once	once	SCONJ	IN	3	mark	once_0	O
168	12	2	we	we	PRON	PRP	3	nsubj	we_1	O
169	12	3	sailed	sail	VERB	VBD	13	advcl	sail_2	O
170	12	4	,	,	PUNCT	,	13	punct	,_3	O
171	12	5	the	the	DET	DT	9	det	the_4	O
