review_id	word_id	word	lemma	upos	xpos	head	deprel	lemma_index	label
0	1	But	but	CCONJ	CC	6	cc	but_0	O
0	2	the	the	DET	DT	3	det	the_1	O
0	3	staff	staff	NOUN	NN	6	nsubj	staff_2	B
0	4	was	be	AUX	VBD	6	cop	be_3	O
0	5	so	so	ADV	RB	6	advmod	so_4	O
0	6	horrible	horrible	ADJ	JJ	0	root	horrible_5	O
0	7	to	to	ADP	IN	8	case	to_6	O
0	8	us	we	PRON	PRP	6	obl	we_7	O
0	9	.	.	PUNCT	.	6	punct	._8	O
1	1	To	to	PART	TO	4	mark	to_0	O
1	2	be	be	AUX	VB	4	cop	be_1	O
1	3	completely	completely	ADV	RB	4	advmod	completely_2	O
1	4	fair	fair	ADJ	JJ	12	advcl	fair_3	O
1	5	,	,	PUNCT	,	12	punct	,_4	O
1	6	the	the	DET	DT	9	det	the_5	O
1	7	only	only	ADJ	JJ	9	amod	only_6	O
1	8	redeeming	redeeming	NOUN	NN	9	compound	redeeming_7	O
1	9	factor	factor	NOUN	NN	12	nsubj	factor_8	O
1	10	was	be	AUX	VBD	12	cop	be_9	O
1	11	the	the	DET	DT	12	det	the_10	O
1	12	food	food	NOUN	NN	0	root	food_11	B
1	13	,	,	PUNCT	,	12	punct	,_12	O
1	14	which	which	PRON	WDT	17	nsubj	which_13	O
1	15	was	be	AUX	VBD	17	cop	be_14	O
1	16	above	above	ADV	RB	17	advmod	above_15	O
1	17	average	average	ADJ	JJ	12	acl:relcl	average_16	O
1	18	,	,	PUNCT	,	22	punct	,_17	O
1	19	but	but	CCONJ	CC	22	cc	but_18	O
1	20	could	could	AUX	MD	22	aux	could_19	O
1	21	n't	not	PART	RB	22	advmod	not_20	O
1	22	make	make	VERB	VB	12	conj	make_21	O
1	23	up	up	ADP	RP	22	compound:prt	up_22	O
1	24	for	for	ADP	IN	28	case	for_23	O
1	25	all	all	DET	PDT	28	det:predet	all_24	O
1	26	the	the	DET	DT	28	det	the_25	O
1	27	other	other	ADJ	JJ	28	amod	other_26	O
1	28	deficiencies	deficiency	NOUN	NNS	22	obl	deficiency_27	O
1	29	of	of	ADP	IN	30	case	of_28	O
1	30	Teodora	Teodora	PROPN	NNP	28	nmod	Teodora_29	O
1	31	.	.	PUNCT	.	12	punct	._30	O
2	1	The	the	DET	DT	2	det	the_0	O
2	2	food	food	NOUN	NN	5	nsubj	food_1	B
2	3	is	be	AUX	VBZ	5	cop	be_2	O
2	4	uniformly	uniformly	ADV	RB	5	advmod	uniformly_3	O
2	5	exceptional	exceptional	ADJ	JJ	0	root	exceptional_4	O
2	6	,	,	PUNCT	,	5	punct	,_5	O
2	7	with	with	ADP	IN	11	case	with_6	O
2	8	a	a	DET	DT	11	det	a_7	O
2	9	very	very	ADV	RB	10	advmod	very_8	O
2	10	capable	capable	ADJ	JJ	11	amod	capable_9	O
2	11	kitchen	kitchen	NOUN	NN	5	obl	kitchen_10	B
2	12	which	which	PRON	WDT	15	nsubj	which_11	O
2	13	will	will	AUX	MD	15	aux	will_12	O
2	14	proudly	proudly	ADV	RB	15	advmod	proudly_13	O
2	15	whip	whip	VERB	VB	11	acl:relcl	whip_14	O
2	16	up	up	ADP	RP	15	compound:prt	up_15	O
2	17	whatever	whatever	PRON	WP	15	obj	whatever_16	O
2	18	you	you	PRON	PRP	19	nsubj	you_17	O
2	19	feel	feel	VERB	VBP	17	acl:relcl	feel_18	O
2	20	like	like	SCONJ	IN	21	mark	like_19	O
2	21	eating	eat	VERB	VBG	19	advcl	eat_20	O
2	22	,	,	PUNCT	,	21	punct	,_21	O
2	23	whether	whether	SCONJ	IN	28	mark	whether_22	O
2	24	it	it	PRON	PRP	28	nsubj	it_23	O
2	25	's	be	AUX	VBZ	28	cop	be_24	O
2	26	on	on	ADP	IN	28	case	on_25	O
2	27	the	the	DET	DT	28	det	the_26	O
2	28	menu	menu	NOUN	NN	21	advcl	menu_27	B
2	29	or	or	CCONJ	CC	30	cc	or_28	O
2	30	not	not	PART	RB	28	conj	not_29	O
2	31	.	.	PUNCT	.	5	punct	._30	O
3	1	Where	where	ADV	WRB	4	mark	where_0	O
3	2	Gabriela	Gabriela	PROPN	NNP	4	nsubj	Gabriela_1	O
3	3	personaly	personally	ADV	RB	4	advmod	personally_2	O
3	4	greets	greet	VERB	VBZ	0	root	greet_3	O
3	5	you	you	PRON	PRP	4	obj	you_4	O
3	6	and	and	CCONJ	CC	7	cc	and_5	O
3	7	recommends	recommend	VERB	VBZ	4	conj	recommend_6	O
3	8	you	you	PRON	PRP	7	obj	you_7	O
